Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State
Tow Truck Company - 124,Billing Dispute - B02,02/09/2018,03/15/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Secondhand Dealer Auto - 005,Breach of Contract - B03,09/13/2017,10/04/2017,Referred to Outside - RTO,,LONG ISLAND CITY,NY
Garage & Parking Lot - 098,Damaged Goods - D01,01/12/2018,03/05/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Health Spa - 839,Exchange Goods/Contract Cancelled - E01,08/10/2018,09/17/2018,Advised to Sue - ATS,No,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/09/2018,04/09/2018,Goods Repaired - GRS,Yes,FLUSHING,NY
Wearing Apparel - 450,Surcharge/Overcharge - S02,09/29/2017,10/06/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Other,Advertising/Misleading - A02,07/03/2018,07/11/2018,Store Credit - SCR,Yes,NEW YORK,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/16/2017,06/13/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,04/20/2018,06/01/2018,Referred to Outside - RTO,,QUEENS VILLAGE,NY
Tow Truck Company - 124,Misrepresentation - M01,02/10/2017,03/17/2017,Referred to Outside - RTO,,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Surcharge/Overcharge - S02,02/10/2017,03/15/2017,Store Credit - SCR,Yes,QUEENS VLG,NY
Furniture Sales - 242,Damaged Goods - D01,11/02/2017,11/27/2017,Goods Repaired - GRS,Yes,ARCADIA,WI
Supermarket - 819,Surcharge/Overcharge - S02,01/09/2018,01/18/2018,Complaint Invalid - CIN,,BRONX,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/08/2017,06/28/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/29/2017,09/12/2017,No Satisfactory Preempted - NSP,,NEW YORK,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,03/20/2018,04/04/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,11/24/2017,01/18/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/12/2018,03/06/2018,Advised to Sue - ATS,No,DARIEN,CT
Garage & Parking Lot - 098,Damaged Goods - D01,03/10/2017,04/24/2017,Consumer Took Action - CTA,No,NEW YORK,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,08/23/2017,09/28/2017,Goods Repaired - GRS,Yes,BRONX,NY
Electronic Store - 001,Breach of Contract - B03,08/29/2017,09/20/2017,Advised to Sue - ATS,No,WILMINGTON,DE
Home Improvement Contractor - 100,Quality of Work - Q01,05/04/2018,06/08/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Debt Collection Agency - 122,Misrepresentation - M01,07/11/2017,08/01/2017,Referred to Outside - RTO,,SPRINGFIELD,OR
Tax Preparers - 891,Misrepresentation - M01,06/16/2017,07/14/2017,Advised to Sue - ATS,No,VIRGINIA BEACH,VA
Furniture Sales - 242,Damaged Goods - D01,03/16/2017,04/04/2017,Cash Amount - AMT,Yes,HICKSVILLE,NY
Mailorder Misc - 319,Exchange Goods/Contract Cancelled - E01,06/06/2017,06/15/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Appliances - 244,Non-Delivery of Service - N02,09/12/2017,09/21/2017,Referred to Manufacturer - RMF,,BROOKLYN,NY
Home Improvement Contractor - 100,Misrepresentation - M01,04/05/2017,05/09/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Misrepresentation - M01,04/24/2018,05/08/2018,Advised to Sue - ATS,No,MASPETH,NY
Garage - 049,Surcharge/Overcharge - S02,04/27/2017,03/01/2017,Cash Amount - AMT,Yes,JAMAICA,NY
Mailorder Misc - 319,Non-Delivery of Goods - N01,03/13/2017,04/07/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Secondhand Dealer [General] - 006,Misrepresentation - M01,03/07/2017,03/23/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Tow Truck Company - 124,Misrepresentation - M01,08/17/2018,09/20/2018,Advised to Sue - ATS,No,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/03/2017,04/26/2017,Advised to Sue - ATS,No,HEMPSTEAD,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/20/2017,05/10/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,08/09/2017,08/17/2017,No Business Response - NVR,No,BROOKLYN,NY
Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,01/27/2017,03/09/2017,Referred to Hearing - RTH,No,STATEN ISLAND,NY
Debt Settlement - 248,Misrepresentation - M01,08/17/2018,09/12/2018,Bill Reduced - BLR,Yes,TUSTIN,CA
Electronic Store - 001,Misrepresentation - M01,12/16/2016,01/17/2017,No Consumer Response - NCR,,BROOKLYN,NY
Home Improvement Contractor - 100,Misrepresentation - M01,11/03/2017,11/30/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Tow Truck Company - 124,Billing Dispute - B02,08/31/2017,09/21/2017,Cash Amount - AMT,Yes,MASPETH,NY
Tow Truck Company - 124,Misrepresentation - M01,11/28/2017,12/21/2017,Advised to Sue - ATS,No,MASPETH,NY
Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,06/15/2017,06/20/2017,Cash Amount - AMT,Yes,ELMHURST,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,01/05/2018,02/15/2018,Advised to Sue - ATS,No,GARDEN CITY,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/04/2017,09/05/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/26/2018,08/02/2018,Advised to Sue - ATS,No,EAST ELMHURST,NY
Debt Collection Agency - 122,Misrepresentation - M01,03/09/2017,03/09/2017,Resolved and Consumer Satisfied - SPF,Yes,BIRMINGHAM,AL
Other,Misrepresentation - M01,04/19/2017,05/09/2017,Bill Reduced - BLR,Yes,ALBUQUERQUE,NM
Secondhand Dealer Auto - 005,Breach of Contract - B03,06/07/2018,07/11/2018,Resolved and Consumer Satisfied - SPF,Yes,JAMAICA,NY
Home Improvement Contractor - 100,Quality of Work - Q01,04/13/2018,05/24/2018,Advised to Sue - ATS,No,LAURELTON,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,04/05/2018,04/24/2018,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Billing Dispute - B02,01/19/2018,02/15/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,05/02/2017,06/23/2017,Advised to Sue - ATS,No,RIVERHEAD,NY
Debt Collection Agency - 122,Harassment - H01,08/24/2018,09/06/2018,Resolved and Consumer Satisfied - SPF,Yes,FRANKLIN,TN
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,01/04/2018,02/13/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/02/2018,02/20/2018,Advised to Sue - ATS,No,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,06/08/2018,07/02/2018,No Satisfactory Agreement - NSA,No,BRONX,NY
Tow Truck Company - 124,Damaged Goods - D01,07/31/2018,08/09/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Debt Collection Agency - 122,Misrepresentation - M01,10/19/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,READING,PA
Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,05/04/2018,06/22/2018,Advised to Sue - ATS,No,NEW YORK,NY
Furniture Sales - 242,Wrong Goods - W01,05/18/2017,06/02/2017,Cash Amount - AMT,Yes,PLANO,TX
Secondhand Dealer Auto - 005,Billing Dispute - B02,02/28/2017,03/10/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Garage - 049,Closed without Notice,04/03/2018,04/06/2018,Referred to Outside - RTO,,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,09/19/2017,10/10/2017,Resolved and Consumer Satisfied - SPF,Yes,MADISON,WI
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/13/2018,Cash Amount - AMT,Yes,WILMINGTON,DE
Electronic Store - 001,Advertising/Misleading - A02,12/15/2016,01/31/2017,Bill Reduced - BLR,Yes,BROOKLYN,NY
Debt Collection Agency - 122,Billing Dispute - B02,03/23/2018,04/10/2018,Resolved and Consumer Satisfied - SPF,Yes,AUGUSTA,GA
Floor Coverings - 241,Exchange Goods/Contract Cancelled - E01,08/03/2018,09/07/2018,Advised to Sue - ATS,No,FLUSHING,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/01/2017,03/24/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Furniture Sales - 242,Defective Goods - D02,05/18/2018,05/31/2018,Goods Exchanged - GEX,Yes,LIVERPOOL,NY
Debt Collection Agency - 122,Billing Dispute - B02,04/06/2018,04/25/2018,Resolved and Consumer Satisfied - SPF,Yes,CLEARWATER,FL
Home Improvement Contractor - 100,Breach of Contract - B03,12/20/2016,02/06/2017,Resolved and Consumer Satisfied - SPF,Yes,HOLLIS,NY
Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,08/07/2018,09/13/2018,No Satisfactory Agreement - NSA,No,RICHARDSON,TX
Tow Truck Company - 124,Billing Dispute - B02,03/07/2017,04/04/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,05/18/2017,06/15/2017,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Breach of Contract - B03,11/24/2017,12/20/2017,Cash Amount - AMT,Yes,CLIFFWOOD,NJ
Electronic Store - 001,Breach of Contract - B03,05/30/2017,07/19/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,06/07/2018,06/21/2018,Referred to Outside - RTO,,ORLANDO,FL
Secondhand Dealer Auto - 005,Advertising/General - A01,08/16/2018,09/04/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,STATEN ISLAND,NY
Electronic Store - 001,Misrepresentation - M01,05/22/2017,07/03/2017,Referred to Outside - RTO,,NEW YORK,NY
Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,06/27/2017,07/10/2017,No Satisfactory Agreement - NSA,No,FLUSHING,NY
Home Improvement Contractor - 100,Quality of Work - Q01,04/18/2017,06/05/2017,Advised to Sue - ATS,No,RIDGEWOOD,NY
Furniture Sales - 242,Advertising/Misleading - A02,10/05/2017,10/30/2017,Cash Amount - AMT,Yes,LIVERPOOL,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,11/08/2017,11/13/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/24/2017,10/02/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,08/10/2017,09/06/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Appliances - 244,Surcharge/Overcharge - S02,06/22/2018,07/20/2018,Bill Reduced - BLR,Yes,HOFFMAN ESTATES,IL
Tow Truck Company - 124,Misrepresentation - M01,08/03/2018,08/06/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Furniture Sales - 242,Defective Goods - D02,01/10/2017,01/26/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Electronic Store - 001,Outstanding Judgment - J01,08/10/2018,08/27/2018,Agency Collected Judgement - ACJ,Yes,WILMINGTON,DE
Furniture Sales - 242,Breach of Warranty - B04,07/27/2018,08/08/2018,Advised to Sue - ATS,No,MANCHESTER,CT
Home Improvement Contractor - 100,Wrong Goods - W01,09/05/2017,10/11/2017,Advised to Sue - ATS,No,OZONE PARK,NY
Debt Collection Agency - 122,Billing Dispute - B02,03/30/2017,04/19/2017,Resolved and Consumer Satisfied - SPF,Yes,TWINSBURG,OH
Retail Store - 820,Misrepresentation - M01,02/09/2018,02/23/2018,Advised to Sue - ATS,No,NEW YORK,NY
Electronic Store - 001,Misrepresentation - M01,07/20/2018,08/08/2018,Advised to Sue - ATS,No,NEW YORK,NY
Garage - 049,Surcharge/Overcharge - S02,11/28/2017,12/26/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Secondhand Dealer [General] - 006,Misrepresentation - M01,07/13/2017,09/05/2017,Advised to Sue - ATS,No,JAMAICA,NY
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,07/20/2018,08/20/2018,Advised to Sue - ATS,No,BRONX,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,08/25/2017,10/02/2017,Advised to Sue - ATS,No,BRONX,NY
Tow Truck Company - 124,Refund Policy - R01,03/27/2018,04/10/2018,Cash Amount - AMT,Yes,BRONX,NY
Home Improvement Contractor - 100,Quality of Work - Q01,05/10/2017,06/22/2017,Advised to Sue - ATS,No,NEW YORK,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,05/18/2017,06/19/2017,Bill Reduced - BLR,Yes,HOFFMAN ESTATES,IL
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/19/2017,02/24/2017,Resolved and Consumer Satisfied - SPF,Yes,FARMINGDALE,NY
Home Improvement Contractor - 100,Quality of Work - Q01,02/24/2017,04/13/2017,Cash Amount - AMT,Yes,MOORESVILLE,NC
Furniture Sales - 242,Advertising/Misleading - A02,04/26/2017,06/02/2017,Advised to Sue - ATS,No,STATEN ISLAND,NY
Dry Cleaners - 230,Non-Delivery of Goods - N01,03/17/2017,04/06/2017,Unable to Locate Business - ULV,,FLUSHING,NY
Misc Non-Food Retail - 817,Damaged Goods - D01,07/31/2018,08/10/2018,Unable to Locate Business - ULV,,BROOKLYN,NY
Appliances - 244,Damaged Goods - D01,12/27/2016,01/25/2017,Store Credit - SCR,Yes,FARMINGDALE,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,10/24/2017,11/20/2017,Unable to Locate Consumer - ULC,,BRONX,NY
Furniture Sales - 242,Damaged Goods - D01,02/16/2017,02/24/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,12/07/2017,01/18/2018,No Satisfactory Agreement - NSA,No,BRONX,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,11/28/2017,12/07/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Tow Truck Company - 124,Receipt Incomplete/Not Given,04/05/2017,05/23/2017,Cash Amount - AMT,Yes,MASPETH,NY
Furniture Sales - 242,Surcharge/Overcharge - S02,02/15/2017,03/28/2017,Resolved and Consumer Satisfied - SPF,Yes,PLANO,TX
Tow Truck Company - 124,Misrepresentation - M01,01/29/2018,02/14/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Quality of Work - Q01,02/15/2017,03/24/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,07/27/2018,09/04/2018,Consumer Took Action - CTA,No,JAMAICA,NY
Home Improvement Contractor - 100,Quality of Work - Q01,08/30/2017,10/19/2017,No Satisfactory Agreement - NSA,No,STATEN ISLAND,NY
Fuel Oil Dealer - 814,Surcharge/Overcharge - S02,04/04/2017,04/21/2017,Advised to Sue - ATS,No,BRONX,NY
Electronic Store - 001,Misrepresentation - M01,03/22/2017,04/14/2017,No Business Response - NVR,No,REGO PARK,NY
Electronic Store - 001,Misrepresentation - M01,07/24/2018,07/31/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Electronic Store - 001,Advertising/Misleading - A02,10/19/2017,11/30/2017,Cash Amount - AMT,Yes,COLLEGE POINT,NY
Secondhand Dealer Auto - 005,Advertising/General - A01,05/04/2018,05/31/2018,Goods Repaired - GRS,Yes,BRONX,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,06/08/2018,07/02/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,08/07/2018,08/22/2018,Goods Received - GDR,Yes,BROOKLYN,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,05/10/2018,05/29/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Dry Cleaners - 230,Non-Delivery of Service - N02,05/24/2017,06/05/2017,Advised to Sue - ATS,No,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,06/22/2018,07/10/2018,Bill Reduced - BLR,Yes,NORFOLK,VA
Debt Collection Agency - 122,Billing Dispute - B02,10/13/2017,11/01/2017,Bill Reduced - BLR,Yes,LYNNWOOD,WA
Tow Truck Company - 124,Billing Dispute - B02,04/13/2018,04/25/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Wearing Apparel - 450,Non-Delivery of Goods - N01,04/27/2018,05/15/2018,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,03/30/2018,04/11/2018,Advised to Sue - ATS,No,RICHMOND HILL,NY
Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,01/02/2018,01/03/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Electronic Store - 001,Surcharge/Overcharge - S02,01/18/2018,02/09/2018,Cash Amount - AMT,Yes,NEW YORK,NY
Tax Preparers - 891,Misrepresentation - M01,03/29/2018,04/02/2018,Resolved and Consumer Satisfied - SPF,Yes,JAMAICA,NY
Misc Non-Food Retail - 817,Non-Delivery of Service - N02,06/22/2017,07/24/2017,Unable to Locate Business - ULV,,NEW YORK,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,12/08/2017,12/19/2017,Complaint Invalid - CIN,,NEW YORK,NY
Garage - 049,Surcharge/Overcharge - S02,01/12/2017,01/24/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY
Other,Defective Goods - D02,01/26/2018,02/26/2018,Cash Amount - AMT,Yes,GREAT NECK,NY
Garage - 049,Damage / Estimate,06/01/2018,07/05/2018,Advised to Sue - ATS,No,NEW YORK,NY
Home Improvement Contractor - 100,Quality of Work - Q01,03/17/2017,05/08/2017,No Satisfactory Agreement - NSA,No,JAMAICA,NY
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,04/27/2017,05/09/2017,No Satisfactory Agreement - NSA,No,BROOKLYN,NY
Garage - 049,Damage / Estimate,07/27/2018,08/20/2018,Advised to Sue - ATS,No,NEW YORK,NY
Garage - 049,Damage / Estimate,05/24/2017,06/20/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,03/06/2017,03/22/2017,Cash Amount - AMT,Yes,BRONX,NY
Garage - 049,Damaged Goods - D01,04/04/2017,05/05/2017,Goods Repaired - GRS,Yes,NEW YORK,NY
Furniture Sales - 242,Damaged Goods - D01,06/27/2017,07/11/2017,Advised to Sue - ATS,No,BROOKLYN,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/10/2017,03/06/2017,Referred to Hearing - RTH,No,HICKSVILLE,NY
Employment Agency - 034,Non-Delivery of Service - N02,09/28/2017,10/30/2017,Unable to Locate Business - ULV,,NEW YORK,NY
Debt Collection Agency - 122,Billing Dispute - B02,08/09/2017,09/15/2017,Resolved and Consumer Satisfied - SPF,Yes,CHICAGO,IL
Garage - 049,Surcharge/Overcharge - S02,06/15/2017,06/22/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/16/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Hotel/Motel - 460,Surcharge/Overcharge - S02,03/29/2018,04/16/2018,Advised to Sue - ATS,No,NEW YORK,NY
Employment Agency - 034,Billing Dispute - B02,05/17/2018,06/11/2018,Unable to Locate Business - ULV,,NEW YORK,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,08/11/2017,08/28/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,02/20/2018,03/08/2018,Cash Amount - AMT,Yes,QUEENS VLG,NY
Debt Collection Agency - 122,Billing Dispute - B02,12/29/2016,01/09/2017,Bill Reduced - BLR,Yes,RENTON,WA
Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,09/25/2018,09/27/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/15/2017,01/12/2018,Advised to Sue - ATS,No,BROOKLYN,NY
Jewelry Store-Retail - 823,Breach of Contract - B03,03/23/2017,05/02/2017,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,07/13/2017,07/27/2017,Cash Amount - AMT,Yes,BRONX,NY
Debt Collection Agency - 122,Billing Dispute - B02,07/26/2018,08/20/2018,Cash Amount - AMT,Yes,ROHNERT PARK,CA
Furniture Sales - 242,Non-Delivery of Goods - N01,04/19/2017,05/08/2017,No Business Response - NVR,No,NEW YORK,NY
Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,03/28/2017,04/14/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Tow Truck Company - 124,Misrepresentation - M01,02/16/2017,04/20/2017,Referred to Hearing - RTH,No,MASPETH,NY
Garage - 049,Surcharge/Overcharge - S02,10/16/2017,10/30/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Electronic & Home Appliance Service Dealer - 115,Breach of Warranty - B04,01/04/2017,01/27/2017,Unable to Locate Business - ULV,,BRONX,NY
Sightseeing Bus - 078,Advertising/General - A01,05/25/2017,06/09/2017,Store Credit - SCR,Yes,NEW YORK,NY
Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,12/21/2016,01/10/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Garage - 049,Misrepresentation - M01,07/06/2017,07/17/2017,Bill Reduced - BLR,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Breach of Contract - B03,12/29/2017,02/06/2018,Resolved and Consumer Satisfied - SPF,Yes,JAMAICA,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,03/29/2017,04/21/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,GLENDALE,NY
Employment Agency - 034,Misrepresentation - M01,04/07/2017,04/19/2017,Cash Amount - AMT,Yes,JACKSON HEIGHTS,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,10/16/2017,10/19/2017,Out of Business - OOB,,BROOKLYN,NY
Secondhand Dealer Auto - 005,Breach of Contract - B03,09/29/2017,10/16/2017,Referred to Outside - RTO,,BRONX,NY
Home Improvement Contractor - 100,Damaged Goods - D01,08/09/2017,09/11/2017,Referred to Hearing - RTH,No,BROOKLYN,NY
Tow Truck Company - 124,Billing Dispute - B02,05/10/2018,06/04/2018,Advised to Sue - ATS,No,BRONX,NY
Mailorder Misc - 319,Non-Delivery of Goods - N01,08/28/2018,09/07/2018,Resolved and Consumer Satisfied - SPF,Yes,GAVILAN HILLS,CA
Electronic Store - 001,Advertising/Misleading - A02,01/19/2018,01/31/2018,Resolved and Consumer Satisfied - SPF,Yes,OVERLAND,KS
Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,05/02/2017,05/25/2017,Consumer Took Action - CTA,No,NEW YORK,NY
Electronic Store - 001,Billing Dispute - B02,08/17/2018,08/31/2018,Store Credit - SCR,Yes,ALBUQUERQUE,NM
Other,Refund Policy - R01,08/17/2017,09/15/2017,Cash Amount - AMT,Yes,BROOKLYN,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/18/2017,05/03/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Sightseeing Bus - 078,Misrepresentation - M01,03/03/2017,03/07/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Tow Truck Company - 124,Unlicensed,01/04/2018,02/15/2018,No Consumer Response - NCR,,LAFAYETTE,NJ
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,07/27/2017,08/24/2017,Advised to Sue - ATS,No,NEW YORK,NY
Tow Truck Company - 124,Unauthorized tow,06/19/2018,06/29/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,08/24/2018,08/28/2018,Goods Exchanged - GEX,Yes,FLUSHING,NY
Home Improvement Contractor - 100,Damaged Goods - D01,02/09/2018,02/27/2018,Resolved and Consumer Satisfied - SPF,Yes,SOUTH OZONE PARK,NY
Debt Collection Agency - 122,Misrepresentation - M01,02/03/2017,03/09/2017,Bill Reduced - BLR,Yes,COLUMBUS,OH
Electronic Store - 001,Misrepresentation - M01,11/06/2017,11/15/2017,Resolved and Consumer Satisfied - SPF,Yes,PLAINVIEW,NY
Home Improvement Contractor - 100,Refund Policy - R01,01/10/2017,03/10/2017,Resolved and Consumer Satisfied - SPF,Yes,VALLEY STREAM,NY
Auction House - 128,Exchange Goods/Contract Cancelled - E01,09/22/2017,10/13/2017,No Business Response - NVR,No,NEW YORK,NY
Misc Non-Food Retail - 817,Advertising/Misleading - A02,01/30/2018,02/15/2018,No Satisfactory Preempted - NSP,,ASTORIA,NY
Misc Non-Food Retail - 817,Misrepresentation - M01,06/01/2017,06/08/2017,Cash Amount - AMT,Yes,CORONA,NY
Travel Agency - 440,Misrepresentation - M01,10/20/2017,12/01/2017,Referred to Outside - RTO,,JACKSON HEIGHTS,NY
Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/20/2017,01/31/2017,Resolved and Consumer Satisfied - SPF,Yes,ROSEDALE,NY
Furniture Sales - 242,Outstanding Judgment - J01,01/27/2017,02/24/2017,Referred to Outside - RTO,,NEW YORK,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,12/13/2016,01/03/2017,Complaint Invalid - CIN,,ASTORIA,NY
Garage - 049,Surcharge/Overcharge - S02,04/11/2017,05/04/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Misrepresentation - M01,05/22/2017,06/28/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY
Electronic Store - 001,Defective Goods - D02,05/08/2017,05/12/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Travel Agency - 440,Surcharge/Overcharge - S02,06/08/2017,06/29/2017,Cash Amount - AMT,Yes,FLUSHING,NY
Retail Store - 820,Misrepresentation - M01,06/29/2018,07/16/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Appliances - 244,Defective Goods - D02,05/25/2018,06/21/2018,Resolved and Consumer Satisfied - SPF,Yes,ATLANTA,GA
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,03/08/2017,03/17/2017,No Satisfactory Preempted - NSP,,NEW YORK,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/03/2017,02/16/2017,Resolved and Consumer Satisfied - SPF,Yes,COLUMBUS,OH
Furniture Sales - 242,Damaged Goods - D01,04/06/2018,04/18/2018,Store Credit - SCR,Yes,LIVERPOOL,NY
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/16/2017,03/02/2017,Complaint Invalid - CIN,,BROOKLYN,NY
