,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State,Count the number of first five most complainted states,
682,Furniture Sales - 242,Price Not Posted,05/18/2018,05/31/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
683,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/30/2017,09/20/2017,Resolved and Consumer Satisfied - SPF,Yes,FARMINGDALE,NY,,
684,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,12/26/2017,01/09/2018,Cash Amount - AMT,Yes,LONG ISLAND CITY,NY,,
685,Tow Truck Company - 124,Misrepresentation - M01,03/17/2017,03/30/2017,Complaint Invalid - CIN,,BROOKLYN,NY,,
686,Dry Cleaners - 230,Damaged Goods - D01,05/30/2017,06/30/2017,No Satisfactory Agreement - NSA,No,WOODSIDE,NY,,
687,Secondhand Dealer Auto - 005,Misrepresentation - M01,10/27/2017,12/04/2017,Advised to Sue - ATS,No,JAMAICA,NY,,
688,Tow Truck Company - 124,Misrepresentation - M01,07/03/2018,07/11/2018,Cash Amount - AMT,Yes,OZONE PARK,NY,,
689,Travel Agency - 440,Non-Delivery of Goods - N01,08/10/2017,08/17/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
692,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/29/2017,01/10/2018,Cash Amount - AMT,Yes,NEW HYDE PARK,NY,,
693,Dry Cleaners - 230,Non-Delivery of Service - N02,07/13/2018,07/24/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
694,Jewelry Store-Retail - 823,Refund Policy - R01,10/03/2017,10/26/2017,Referred to Outside - RTO,,NEW YORK,NY,,
695,Home Improvement Contractor - 100,Quality of Work - Q01,12/20/2016,01/19/2017,Unable to Locate Business - ULV,,MIDDLE VILLAGE,NY,,
696,Garage - 049,Damaged Goods - D01,01/19/2017,03/08/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
697,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/13/2018,07/24/2018,Consumer Took Action - CTA,No,FLORAL PARK,NY,,
698,Health Spa - 839,Misrepresentation - M01,05/02/2018,05/17/2018,Referred to Outside - RTO,,NEW YORK,NY,,
699,Electronic Store - 001,Billing Dispute - B02,08/25/2017,09/22/2017,Store Credit - SCR,Yes,NEW YORK,NY,,
700,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/10/2017,04/18/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
701,Furniture Sales - 242,Outstanding Judgment - J01,09/14/2017,10/12/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
702,Electronic Store - 001,Breach of Contract - B03,01/19/2017,02/09/2017,Complaint Invalid - CIN,,LITTLE ROCK,AR,,
703,Jewelry Store-Retail - 823,Misrepresentation - M01,03/29/2018,05/25/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
704,Furniture Sales - 242,Damaged Goods - D01,03/07/2018,04/04/2018,No Satisfactory Agreement - NSA,No,BROOKLYN,NY,,
705,Electronic Store - 001,Advertising/Misleading - A02,05/16/2017,06/15/2017,Advised to Sue - ATS,No,ASTORIA,NY,,
706,Misc Non-Food Retail - 817,Damaged Goods - D01,01/19/2017,02/13/2017,Store Credit - SCR,Yes,FRAMINGHAM,MA,,
707,Furniture Sales - 242,Advertising/Misleading - A02,03/09/2018,04/26/2018,Resolved and Consumer Satisfied - SPF,Yes,PLANO,TX,,
709,Secondhand Dealer Auto - 005,Advertising/General - A01,11/09/2017,11/16/2017,Out of Business - OOB,,BROOKLYN,NY,,
710,Mailorder Misc - 319,Non-Delivery of Goods - N01,06/05/2018,06/13/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
711,Home Improvement Contractor - 100,Quality of Work - Q01,07/13/2018,09/04/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
712,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/10/2018,04/18/2018,Cash Amount - AMT,Yes,S OZONE PARK,NY,,
713,Misc Non-Food Retail - 817,Damaged Goods - D01,03/02/2018,03/16/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
714,Auto Rental - 213,Surcharge/Overcharge - S02,04/26/2018,05/15/2018,No Consumer Response - NCR,,BROOKLYN,NY,,
715,Garage - 049,Damaged Goods - D01,04/14/2017,04/24/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
716,Tow Truck Company - 124,Billing Dispute - B02,05/02/2017,05/10/2017,Cash Amount - AMT,Yes,QUEENS VILLAGE,NY,,
717,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,04/24/2018,04/26/2018,Store Credit - SCR,Yes,RICHFIELD,MN,,
718,Tow Truck Company - 124,Billing Dispute - B02,02/09/2018,02/13/2018,Complaint Invalid - CIN,,BRONX,NY,,
720,Debt Collection Agency - 122,Misrepresentation - M01,03/23/2018,04/24/2018,Resolved and Consumer Satisfied - SPF,Yes,ROSWELL,GA,,
721,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/27/2017,06/08/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
722,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/11/2017,04/20/2017,Cash Amount - AMT,Yes,WOODSIDE,NY,,
725,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/13/2017,08/07/2017,Complaint Invalid - CIN,,NEW YORK,NY,,
726,Pedicab Driver - 131,Surcharge/Overcharge - S02,09/29/2017,11/27/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
727,Retail Store - 820,Refund Policy - R01,08/28/2018,09/10/2018,Cash Amount - AMT,Yes,STATEN ISLAND,NY,,
728,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/11/2017,08/25/2017,Goods Repaired - GRS,Yes,STATEN ISLAND,NY,,
729,Furniture Sales - 242,Damaged Goods - D01,06/20/2018,06/29/2018,Goods Repaired - GRS,Yes,ASTORIA,NY,,
730,Retail Store - 820,Misrepresentation - M01,05/24/2017,06/19/2017,Store Credit - SCR,Yes,NEW YORK,NY,,
731,Home Improvement Contractor - 100,Quality of Work - Q01,03/30/2018,04/06/2018,Goods Repaired - GRS,Yes,BROOKLYN,NY,,
732,Debt Collection Agency - 122,Misrepresentation - M01,05/02/2017,05/22/2017,Bill Reduced - BLR,Yes,ROSWELL,GA,,
733,Electronic Store - 001,Surcharge/Overcharge - S02,03/16/2018,04/06/2018,Advised to Sue - ATS,No,OVERLAND,KS,,
734,Garage - 049,Surcharge/Overcharge - S02,03/13/2018,03/22/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
735,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,12/13/2016,01/09/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
736,Electronic Store - 001,Misrepresentation - M01,01/12/2018,01/22/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
737,Furniture Sales - 242,Surcharge/Overcharge - S02,11/24/2017,12/21/2017,No Satisfactory Agreement - NSA,No,JACKSON HEIGHTS,NY,,
738,Misc Non-Food Retail - 817,Misrepresentation - M01,04/03/2018,04/05/2018,Complaint Invalid - CIN,,REDWOOD CITY,CA,,
739,Dry Cleaners - 230,Non-Delivery of Service - N02,01/23/2018,02/02/2018,Cash Amount - AMT,Yes,BRONX,NY,,
740,Secondhand Dealer Auto - 005,Breach of Contract - B03,01/06/2017,03/01/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
742,Other,Advertising/General - A01,03/30/2018,04/11/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
744,Home Improvement Contractor - 100,Misrepresentation - M01,02/02/2018,02/22/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
745,Tow Truck Company - 124,Damaged Goods - D01,05/18/2018,06/11/2018,Cash Amount - AMT,Yes,COLLEGE POINT,NY,,
747,Garage & Parking Lot - 098,Damaged Goods - D01,06/22/2018,06/29/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
748,Mailorder Misc - 319,Misrepresentation - M01,04/10/2017,05/08/2017,No Consumer Response - NCR,,CANTON,MA,,
749,Home Improvement Contractor - 100,Quality of Work - Q01,10/23/2017,11/29/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
750,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/29/2017,02/14/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
751,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/16/2016,01/25/2017,Out of Business - OOB,,BROOKLYN,NY,,
752,Furniture Sales - 242,Defective Goods - D02,03/16/2018,04/12/2018,Referred to Outside - RTO,,HOUSTON,TX,,
753,Electronic Store - 001,Defective Goods - D02,01/26/2018,03/12/2018,Consumer Took Action - CTA,No,BRONX,NY,,
754,Home Improvement Contractor - 100,Quality of Work - Q01,11/02/2017,12/13/2017,Advised to Sue - ATS,No,GLENDALE,NY,,
755,Tow Truck Company - 124,Surcharge/Overcharge - S02,11/10/2016,01/10/2017,No Consumer Response - NCR,,BRONX,NY,,
756,Appliances - 244,Defective Goods - D02,08/17/2018,08/31/2018,Complaint Invalid - CIN,,FARMINGDALE,NY,,
757,Misc Non-Food Retail - 817,Wrong Goods - W01,08/18/2017,09/27/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
758,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,12/16/2016,01/13/2017,Referred to Outside - RTO,,BRONX,NY,,
759,Home Improvement Contractor - 100,Quality of Work - Q01,09/28/2017,11/15/2017,No Satisfactory Agreement - NSA,No,NEW YORK,NY,,
760,Home Improvement Contractor - 100,Quality of Work - Q01,04/27/2018,05/03/2018,Advised to Sue - ATS,No,HEMPSTEAD,NY,,
761,Dry Cleaners - 230,Misrepresentation - M01,07/13/2017,07/18/2017,Goods Received - GDR,Yes,NEW YORK,NY,,
762,Home Improvement Contractor - 100,Non-Delivery of Service - N02,11/16/2017,12/12/2017,Advised to Sue - ATS,No,ARVERNE,NY,,
764,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,02/03/2017,03/06/2017,Advised to Sue - ATS,No,WOODHAVEN,NY,,
765,Other,Misrepresentation - M01,04/03/2018,04/16/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
766,Tow Truck Company - 124,Billing Dispute - B02,07/06/2018,07/16/2018,Cash Amount - AMT,Yes,NEW HYDE PARK,NY,,
767,Electronic Store - 001,Defective Goods - D02,07/03/2018,07/24/2018,Out of Business - OOB,,BROOKLYN,NY,,
768,Debt Collection Agency - 122,Billing Dispute - B02,06/19/2018,07/02/2018,Bill Reduced - BLR,Yes,SAINT PAUL,MN,,
769,Home Improvement Contractor - 100,Misrepresentation - M01,05/02/2017,06/08/2017,Advised to Sue - ATS,No,WHITESTONE,NY,,
770,Garage - 049,Damaged Goods - D01,06/20/2017,08/08/2017,Referred to Hearing - RTH,No,NEW YORK,NY,,
771,Dealer In Products For The Disabled - 119,Exchange Goods/Contract Cancelled - E01,07/12/2018,08/06/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
772,Secondhand Dealer [General] - 006,Exchange Goods/Contract Cancelled - E01,09/19/2017,09/29/2017,No Satisfactory Preempted - NSP,,ELMHURST,NY,,
773,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,06/15/2018,06/25/2018,Resolved and Consumer Satisfied - SPF,Yes,RICHMOND HILL,NY,,
774,Electronic Store - 001,Advertising/Misleading - A02,08/29/2017,10/02/2017,Unable to Locate Business - ULV,,JACKSON HEIGHTS,NY,,
775,Secondhand Dealer [General] - 006,Exchange Goods/Contract Cancelled - E01,04/12/2018,04/23/2018,Advised to Sue - ATS,No,CORONA,NY,,
776,Misc Non-Food Retail - 817,Bait & Switch - B01,04/25/2017,05/24/2017,Advised to Sue - ATS,No,GARDEN CITY,NY,,
777,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/05/2017,02/17/2017,Advised to Sue - ATS,No,GLENDALE,NY,,
778,Secondhand Dealer Auto - 005,Breach of Contract - B03,06/15/2018,08/03/2018,No Business Response - NVR,No,BROOKLYN,NY,,
779,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,11/30/2017,01/09/2018,Referred to Outside - RTO,,COLLEGE POINT,NY,,
780,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,12/06/2016,01/09/2017,Referred to Outside - RTO,,QUEENS VLG,NY,,
781,Misc Non-Food Retail - 817,Defective Goods - D02,12/30/2016,02/16/2017,Complaint Invalid - CIN,,HOFFMAN ESTATES,IL,,
782,Furniture Sales - 242,Damaged Goods - D01,09/06/2017,10/02/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
783,Furniture Sales - 242,Surcharge/Overcharge - S02,08/23/2017,10/12/2017,Advised to Sue - ATS,No,BRONX,NY,,
784,Debt Collection Agency - 122,Misrepresentation - M01,12/27/2016,01/30/2017,Resolved and Consumer Satisfied - SPF,Yes,TEMPE,AZ,,
785,Tow Truck Company - 124,Misrepresentation - M01,08/14/2018,09/04/2018,Advised to Sue - ATS,No,BRONX,NY,,
786,Secondhand Dealer Auto - 005,Damaged Goods - D01,11/02/2017,11/15/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
787,Furniture Sales - 242,Damaged Goods - D01,05/09/2017,06/16/2017,No Consumer Response - NCR,,NEW YORK,NY,,
788,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,09/11/2017,10/24/2017,No Consumer Response - NCR,,BROOKLYN,NY,,
789,Appliances - 244,Damaged Goods - D01,04/26/2017,05/24/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
790,Garage - 049,Damaged Goods - D01,02/22/2018,03/12/2018,No Business Response - NVR,No,ROCKAWAY BEACH,NY,,
791,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,05/04/2017,06/07/2017,Resolved and Consumer Satisfied - SPF,Yes,SPRNGFLD GDNS,NY,,
792,Furniture Sales - 242,Misrepresentation - M01,05/24/2017,06/23/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
793,Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,07/12/2017,08/03/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
794,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Goods - N01,12/19/2017,12/22/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
795,Electronic & Home Appliance Service Dealer - 115,Exchange Goods/Contract Cancelled - E01,11/17/2017,12/15/2017,No Satisfactory Preempted - NSP,,LISLE,IL,,
796,Electronic Store - 001,Misrepresentation - M01,06/15/2017,07/18/2017,Bill Reduced - BLR,Yes,MONSEY,NY,,
797,Tow Truck Company - 124,Misrepresentation - M01,12/20/2016,02/07/2017,Cash Amount - AMT,Yes,BRONX,NY,,
798,Home Improvement Contractor - 100,Quality of Work - Q01,12/30/2016,02/07/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
799,Tow Truck Company - 124,Refund Policy - R01,03/16/2018,03/28/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
800,Tow Truck Company - 124,Misrepresentation - M01,07/20/2018,08/23/2018,Advised to Sue - ATS,No,MOUNT VERNON,NY,,
801,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/15/2018,07/02/2018,Out of Business - OOB,,NEW YORK,NY,,
802,Home Improvement Contractor - 100,Quality of Work - Q01,03/15/2017,03/30/2017,Advised to Sue - ATS,No,HUNTINGTON STATION,NY,,
803,Jewelry Store-Retail - 823,Misrepresentation - M01,03/01/2017,03/17/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
804,Tow Truck Company - 124,Billing Dispute - B02,10/11/2017,10/27/2017,Cash Amount - AMT,Yes,QUEENS VLG,NY,,
805,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/14/2016,01/20/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
806,Other,Misrepresentation - M01,06/07/2017,07/05/2017,Bill Reduced - BLR,Yes,ALBUQUERQUE,NM,,
807,Hotel/Motel - 460,Surcharge/Overcharge - S02,07/03/2018,07/06/2018,Resolved and Consumer Satisfied - SPF,Yes,EAST ELMHURST,NY,,
808,Tow Truck Company - 124,Damaged Goods - D01,09/13/2017,10/27/2017,No Consumer Response - NCR,,ASTORIA,NY,,
809,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,11/16/2017,12/05/2017,Store Credit - SCR,Yes,BROOKLYN,NY,,
810,Tow Truck Company - 124,Billing Dispute - B02,11/03/2016,01/05/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
811,Home Improvement Contractor - 100,Quality of Work - Q01,02/09/2018,03/13/2018,Referred to Outside - RTO,,GREAT NECK,NY,,
812,Tow Truck Company - 124,Misrepresentation - M01,02/03/2017,03/20/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
813,Home Improvement Contractor - 100,Damaged Goods - D01,12/20/2016,01/04/2017,Goods Repaired - GRS,Yes,STATEN ISLAND,NY,,
814,Debt Collection Agency - 122,Billing Dispute - B02,09/26/2017,10/13/2017,Resolved and Consumer Satisfied - SPF,Yes,ATLANTA,GA,,
815,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,03/20/2018,03/23/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
816,Other,Misrepresentation - M01,06/08/2018,07/11/2018,Referred to Manufacturer - RMF,,BROOKLYN,NY,,
817,Dry Cleaners - 230,Damaged Goods - D01,06/19/2018,06/22/2018,Goods Received - GDR,Yes,BROOKLYN,NY,,
819,Dealer In Products For The Disabled - 119,Defective Goods - D02,08/17/2017,09/11/2017,No Consumer Response - NCR,,NEW YORK,NY,,
820,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,09/13/2017,10/10/2017,Advised to Sue - ATS,No,LISLE,IL,,
821,Secondhand Dealer Auto - 005,Advertising/General - A01,03/30/2018,04/16/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
822,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/18/2018,02/01/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
824,Furniture Sales - 242,Defective Goods - D02,11/22/2017,12/19/2017,Goods Repaired - GRS,Yes,REGO PARK,NY,,
825,Retail Store - 820,Misrepresentation - M01,01/12/2018,01/30/2018,No Consumer Response - NCR,,NEW YORK,NY,,
827,Home Improvement Contractor - 100,Quality of Work - Q01,02/03/2017,03/13/2017,Unable to Locate Business - ULV,,RICHMOND HILL,NY,,
828,Tow Truck Company - 124,Misrepresentation - M01,06/08/2018,06/26/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
829,Home Improvement Contractor - 100,Quality of Work - Q01,05/31/2017,07/28/2017,Referred to Hearing - RTH,No,FRESH MEADOWS,NY,,
830,Retail Store - 820,Damaged Goods - D01,08/31/2017,10/16/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
831,Home Improvement Contractor - 100,Breach of Contract - B03,03/23/2018,05/07/2018,Referred to Outside - RTO,,S RICHMOND HL,NY,,
832,Auto Rental - 213,Surcharge/Overcharge - S02,02/08/2017,03/16/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
833,Electronic Store - 001,Defective Goods - D02,03/27/2017,04/14/2017,No Business Response - NVR,No,NEW YORK,NY,,
834,Fuel Oil Dealer - 814,Non-Delivery of Service - N02,12/28/2017,01/10/2018,No Satisfactory Preempted - NSP,,MASPETH,NY,,
835,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/20/2017,06/09/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
836,Electronic Store - 001,Defective Goods - D02,12/28/2016,01/11/2017,Store Credit - SCR,Yes,FLUSHING,NY,,
837,Electronic & Home Appliance Service Dealer - 115,Breach of Warranty - B04,12/29/2017,01/18/2018,Goods Exchanged - GEX,Yes,HOFFMAN ESTATES,IL,,
838,Tow Truck Company - 124,Misrepresentation - M01,07/24/2017,07/24/2017,Referred to Hearing - RTH,No,JAMAICA,NY,,
839,Tax Preparers - 891,Misrepresentation - M01,03/16/2018,03/23/2018,Advised to Sue - ATS,No,BRONX,NY,,
840,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,06/23/2017,07/21/2017,Resolved and Consumer Satisfied - SPF,Yes,BAYSIDE,NY,,
841,Debt Collection Agency - 122,Harassment - H01,10/10/2017,10/30/2017,Bill Reduced - BLR,Yes,SCHAUMBURG,IL,,
842,Tow Truck Company - 124,Billing Dispute - B02,02/03/2017,03/08/2017,Cash Amount - AMT,Yes,EAST ELMHURST,NY,,
843,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,02/16/2017,03/28/2017,Unable to Locate Business - ULV,,BROOKLYN,NY,,
844,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,07/11/2017,08/03/2017,Referred to Outside - RTO,,LISLE,IL,,
845,Electronic Store - 001,Surcharge/Overcharge - S02,07/27/2018,09/14/2018,Complaint Invalid - CIN,,DALLAS,TX,,
846,Tax Preparers - 891,Surcharge/Overcharge - S02,05/11/2018,05/21/2018,No Business Response - NVR,No,BRONX,NY,,
847,Debt Collection Agency - 122,Harassment - H01,01/12/2018,02/22/2018,No Business Response - NVR,No,SAN DIEGO,CA,,
848,Garage - 049,Surcharge/Overcharge - S02,04/21/2017,04/28/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
849,Furniture Sales - 242,Closed without Notice,11/24/2017,12/18/2017,Out of Business - OOB,,NEW YORK,NY,,
850,Home Improvement Contractor - 100,Quality of Work - Q01,02/07/2017,03/27/2017,Consumer Withdrew Complaint - CWC,,NEW YORK,NY,,
851,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/04/2017,09/07/2017,Referred to Hearing - RTH,No,NEW YORK,NY,,
852,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/03/2018,08/22/2018,No Satisfactory Agreement - NSA,No,JACKSON HTS,NY,,
853,Furniture Sales - 242,Misrepresentation - M01,04/11/2017,04/25/2017,No Business Response - NVR,No,PASSAIC,NJ,,
854,Misc Non-Food Retail - 817,Misrepresentation - M01,11/03/2017,11/16/2017,Complaint Invalid - CIN,,BROOKLYN,NY,,
855,Home Improvement Contractor - 100,Misrepresentation - M01,11/08/2017,11/08/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
857,Home Improvement Contractor - 100,Quality of Work - Q01,09/06/2017,10/23/2017,Advised to Sue - ATS,No,BRONX,NY,,
858,Misc Non-Food Retail - 817,Damaged Goods - D01,02/20/2018,03/01/2018,Referred to Outside - RTO,,ELMHURST,NY,,
859,Home Improvement Contractor - 100,Misrepresentation - M01,06/29/2018,07/23/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
860,Home Improvement Contractor - 100,Outstanding Judgment - J01,03/02/2018,03/19/2018,Referred to Hearing - RTH,No,ASTORIA,NY,,
861,Misc Non-Food Retail - 817,Defective Goods - D02,02/17/2017,03/13/2017,Goods Exchanged - GEX,Yes,REDWOOD CITY,CA,,
862,Misc Non-Food Retail - 817,Refund Policy - R01,02/28/2017,03/02/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
863,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,12/22/2017,01/10/2018,Consumer Took Action - CTA,No,BROOKLYN,NY,,
864,Tow Truck Company - 124,Misrepresentation - M01,04/24/2017,05/24/2017,Referred to Outside - RTO,,HOWARD BEACH,NY,,
865,Furniture Sales - 242,Damaged Goods - D01,04/19/2018,05/17/2018,Cash Amount - AMT,Yes,FLUSHING,NY,,
866,Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,03/28/2017,03/30/2017,Consumer Took Action - CTA,No,SOUTH RICHMOND HILL,NY,,
867,Home Improvement Contractor - 100,Quality of Work - Q01,12/29/2016,01/18/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
868,Furniture Sales - 242,Breach of Warranty - B04,08/03/2018,09/17/2018,Advised to Sue - ATS,No,BRONX,NY,,
869,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,05/16/2017,05/30/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BRONX,NY,,
870,Secondhand Dealer Auto - 005,Breach of Contract - B03,12/15/2017,01/25/2018,No Satisfactory Agreement - NSA,No,BRONX,NY,,
871,Misc Non-Food Retail - 817,Misrepresentation - M01,06/19/2018,06/28/2018,Bill Reduced - BLR,Yes,NEW YORK,NY,,
872,Dealer In Products For The Disabled - 119,Exchange Goods/Contract Cancelled - E01,01/03/2017,02/03/2017,No Satisfactory Preempted - NSP,,ELMHURST,NY,,
873,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/15/2018,03/27/2018,Cash Amount - AMT,Yes,DALLAS,TX,,
874,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,12/13/2016,01/13/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
875,Home Improvement Contractor - 100,Quality of Work - Q01,01/19/2017,03/10/2017,Advised to Sue - ATS,No,CEDARHURST,NY,,
876,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/15/2018,03/13/2018,Referred to Manufacturer - RMF,,MANCHESTER,CT,,
877,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/12/2018,04/26/2018,Referred to Outside - RTO,,HICKSVILLE,NY,,
878,Debt Collection Agency - 122,Misrepresentation - M01,08/07/2017,08/23/2017,Bill Reduced - BLR,Yes,CLEARWATER,FL,,
879,Home Improvement Contractor - 100,Quality of Work - Q01,06/19/2018,07/30/2018,Cash Amount - AMT,Yes,FLUSHING,NY,,
880,Home Improvement Contractor - 100,Non-Delivery of Service - N02,04/19/2018,04/25/2018,Unable to Locate Business - ULV,,FREEPORT,NY,,
881,Misc Non-Food Retail - 817,Damaged Goods - D01,02/15/2017,03/24/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,HOFFMAN ESTATES,IL,,
882,Secondhand Dealer Auto - 005,Misrepresentation - M01,01/12/2018,02/16/2018,No Consumer Response - NCR,,BROOKLYN,NY,,
883,Misc Non-Food Retail - 817,Quality of Work - Q01,06/23/2017,07/17/2017,Resolved and Consumer Satisfied - SPF,Yes,INWOOD,NY,,
884,Tow Truck Company - 124,Billing Dispute - B02,03/09/2017,04/18/2017,Referred to Outside - RTO,,S OZONE PARK,NY,,
885,Home Improvement Contractor - 100,Quality of Work - Q01,03/30/2018,05/10/2018,Resolved and Consumer Satisfied - SPF,Yes,FLUSHING,NY,,
886,Debt Collection Agency - 122,Billing Dispute - B02,05/12/2017,05/24/2017,Resolved and Consumer Satisfied - SPF,Yes,HUNTINGTON,NY,,
887,Home Improvement Contractor - 100,Misrepresentation - M01,11/30/2017,12/19/2017,Referred to Outside - RTO,,BRONX,NY,,
888,Electronic Store - 001,Defective Goods - D02,07/12/2017,07/21/2017,Goods Exchanged - GEX,Yes,FARMINGDALE,NY,,
889,Furniture Sales - 242,Damaged Goods - D01,05/25/2018,06/13/2018,Store Credit - SCR,Yes,MANCHESTER,CT,,
890,Secondhand Dealer Auto - 005,Breach of Contract - B03,11/17/2016,01/04/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
891,Tow Truck Company - 124,Advertising/General - A01,04/13/2018,05/15/2018,Cash Amount - AMT,Yes,ASTORIA,NY,,
892,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/20/2018,03/22/2018,Store Credit - SCR,Yes,BROOKLYN,NY,,
