Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
SIBRE CONSTRUCTION INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/06/2017,03/24/2017,Referred to Hearing - RTH,No,0.00,,,,,,,11203,-73.93628323658923,40.65258744117354
REAL DEAL FURNITURE INC.,Furniture Sales - 242,Price Not Posted,10/06/2017,10/23/2017,Bill Reduced - BLR,Yes,600.00,1629,PITKIN AVE,,BROOKLYN,NY,11212,11233,-73.91406189660644,40.66918165269139
JC PENNEY,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,02/09/2018,03/15/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,6501,LEGACY DR,,PLANO,TX,75024,10031,,
IMOBILE OF NYC 16 INC.,Electronic Store - 001,Defective Goods - D02,06/08/2018,07/06/2018,Bill Reduced - BLR,Yes,67.00,207,TERMINAL DR,,PLAINVIEW,NY,11803,11210,-73.92228135465105,40.609935781046715
ELEMENTS HAIR STUDIO. CORP.,Other,Misrepresentation - M01,04/07/2017,04/21/2017,No Satisfactory Agreement - NSA,No,0.00,301,3RD ST,,BROOKLYN,NY,11215,11217,,
"HOT CHIC BOUTIQUE, INC",Jewelry Store-Retail - 823,Non-Delivery of Goods - N01,01/11/2017,03/10/2017,Advised to Sue - ATS,No,0.00,387,E 149TH ST,,BRONX,NY,10455,10030,-73.91826872517927,40.81623475161338
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Billing Dispute - B02,06/09/2017,07/20/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,10453,,
J. WILSON ROOFING,Home Improvement Contractor - 100,Quality of Work - Q01,11/09/2017,12/08/2017,No Business Response - NVR,No,0.00,3811,DITMARS BLVD,,ASTORIA,NY,11105,11223,-73.90666698285594,40.77329286617478
"IMPERIAL PARKING (U.S.), LLC",Garage - 049,Misrepresentation - M01,08/21/2018,09/10/2018,No Consumer Response - NCR,NA,0.00,307,7TH AVE,STE 301,NEW YORK,NY,10001,10309,,
COHEN'S FASHION OPTICAL,Misc Non-Food Retail - 817,Misrepresentation - M01,05/18/2018,06/04/2018,Advised to Sue - ATS,No,0.00,100,QUENTIN ROOSEVELT BLVD,400,GARDEN CITY,NY,11530,10003,,
MANOLO'S # 1 CONSTRUCTION CORP,Home Improvement Contractor - 100,Quality of Work - Q01,05/22/2017,03/29/2018,Goods Repaired - GRS,Yes,6500.00,1330,ODELL ST,1R,BRONX,NY,10462,10469,,
"EYVETTE BOUTIQUE, INC.",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,10/18/2017,11/01/2017,Store Credit - SCR,Yes,50.00,60,COURT ST,,BROOKLYN,NY,11201,11230,-73.9912193328095,40.692077374607116
"CREDIT CONTROL SERVICES, INC",Debt Collection Agency - 122,Billing Dispute - B02,07/02/2018,07/13/2018,Bill Reduced - BLR,Yes,390.00,725,CANTON ST,,NORWOOD,MA,02062,10027,,
"FIRSTSOURCE ADVANTAGE, LLC",Debt Collection Agency - 122,,12/28/2017,01/12/2018,Bill Reduced - BLR,Yes,462.00,PO BOX,867,,MONSEY,NY,10952,11691,,
POSEIDON 6 CORP.,Dry Cleaners - 230,Damaged Goods - D01,09/29/2017,10/25/2017,No Business Response - NVR,No,0.00,22,SHERMAN AVE,,YONKERS,NY,10705,10001,-73.99167075218307,40.744474870277905
NEW DELPHI EMPLOYMENT AGENCY,Employment Agency - 034,Non-Delivery of Service - N02,04/13/2017,05/04/2017,Referred to Outside - RTO,NA,0.00,708,3RD AVE,6,NEW YORK,NY,10017,11379,-73.97332377450489,40.75232755216677
COMMERCIAL FIVE STAR,Home Improvement Contractor - 100,Non-Delivery of Service - N02,05/04/2017,06/07/2017,Unable to Locate Business - ULV,NA,0.00,78,ROME AVE,,STATEN ISLAND,NY,10304,10302,,
NU-ERA LLC,Home Improvement Contractor - 100,Breach of Contract - B03,04/17/2017,05/19/2017,Referred to Hearing - RTH,No,0.00,14111,185TH ST,,SPRINGFIELD GARDENS,NY,11413,11216,-73.75891349760074,40.67066016176697
MOBILESHACK INC,Electronic Store - 001,Advertising/Misleading - A02,06/22/2018,07/11/2018,Unable to Locate Business - ULV,NA,0.00,566,FASHION AVE,,NEW YORK,NY,10018,,-73.98771710887013,40.755008858572324
HOME DEPOT USA INC,Appliances - 244,Damaged Goods - D01,09/27/2017,10/10/2017,Cash Amount - AMT,Yes,488.00,2455,PACES FERRY RD SE,,ATLANTA,GA,30339,11216,-73.99634841095225,40.66810754767999
HASAN CONSTRUCTION CO,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/01/2017,08/17/2017,Goods Repaired - GRS,Yes,3500.00,2808,BATCHELDER ST,,BROOKLYN,NY,11235,11206,-73.93610273900434,40.585172486931626
CAR CARE TOWING INC.,Tow Truck Company - 124,Billing Dispute - B02,01/18/2018,02/07/2018,Referred to Outside - RTO,NA,0.00,3327,MERRITT AVE,,BRONX,NY,10475,10468,-73.82638873750238,40.88147906749766
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,01/19/2018,02/05/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,106,MOTT ST,,NEW YORK,NY,10013,11218,-73.99733774036191,40.7174804752998
APPLE INC.,Electronic Store - 001,Breach of Contract - B03,02/03/2017,02/27/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,1,GRAND CENTRAL TERMINAL,,CUPERTINO,CA,95014,10468,-73.97730475021692,40.75252053759573
LIK WAY INC,Home Improvement Contractor - 100,Quality of Work - Q01,06/07/2017,06/22/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,,,,,,,11204,-73.88409222799261,40.73110204302288
1800WHEELCHAIR.COM,Dealer In Products For The Disabled - 119,Wrong Goods - W01,02/09/2018,02/15/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,320,ROEBLING ST,515,BROOKLYN,NY,11211,10306,-73.96091172487037,40.708789443776574
P. C. RICHARD & SON LONG ISLAND CORPORATION,Appliances - 244,Exchange Goods/Contract Cancelled - E01,11/16/2017,12/08/2017,No Consumer Response - NCR,NA,0.00,150,PRICE PKWY,,FARMINGDALE,NY,11735,11106,-73.92247698993388,40.75471444241675
INNOVATIVE PARKING LLC,Garage - 049,Outstanding Judgment - J01,03/27/2017,03/28/2017,Agency Collected Judgement - ACJ,Yes,1576.00,305,E 40TH ST,,NEW YORK,NY,10016,07480,,
ALL AMERICAN AUTO BODY INC.,Tow Truck Company - 124,Billing Dispute - B02,07/27/2018,08/08/2018,Referred to Outside - RTO,NA,0.00,6005,FLUSHING AVE,,MASPETH,NY,11378,11104,-73.90709628764378,40.719185944600326
MDBH MOBILE INC,Electronic Store - 001,Damaged Goods - D01,05/04/2017,05/12/2017,Cash Amount - AMT,Yes,46.00,14,W 125TH ST,,NEW YORK,NY,10027,11212,-73.94287255803646,40.80666225145876
CREATIVE MEDIA CONSULTANTS INC.,Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,06/13/2017,06/22/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,45,ROCKEFELLER PLZ,2000,NEW YORK,NY,10111,20815,,
"BREEN BROS. TOWING, INC.",Tow Truck Company - 124,Surcharge/Overcharge - S02,01/05/2017,02/01/2017,Cash Amount - AMT,Yes,68.00,59,TIOGA ST,,STATEN ISLAND,NY,10301,10303,,
"KASIMIS, SPIROS",Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,04/24/2018,05/02/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,150.00,9718,ROOSEVELT AVE,,CORONA,NY,11368,10031,-73.86819488301921,40.74928541165155
"NAT SHERMAN INTERNATIONAL, INC.",Misc Non-Food Retail - 817,Defective Goods - D02,10/05/2017,10/12/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,1796.00,12,E 42ND ST,,NEW YORK,NY,10017,50010,,
"R & PERLS HEATING & COOLING, LLC",Home Improvement Contractor - 100,Quality of Work - Q01,05/24/2018,07/02/2018,No Business Response - NVR,No,0.00,10520,101ST AVE,,OZONE PARK,NY,11416,11208,-73.8374607195344,40.6866874703804
METROPOLITAN HOME IMPROVEMENTS INC.,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/14/2017,08/24/2017,Referred to Hearing - RTH,No,0.00,98,HAYPATH RD,,BETHPAGE,NY,11714,11221,,
APPLE INC.,Electronic & Home Appliance Service Dealer - 115,Breach of Warranty - B04,06/25/2018,08/03/2018,Advised to Sue - ATS,No,0.00,1,INFINITE LOOP,MS1042TX,CUPERTINO,CA,95014,10065,,
MANCHUN TRAVEL INC,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,03/16/2018,04/17/2018,Advised to Sue - ATS,No,0.00,3625,MAIN ST,1A,FLUSHING,NY,11354,11374,-73.83162650695797,40.762420797563486
DESHI NETWORLD INC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,07/19/2017,07/24/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,490,MCDONALD AVE,,BROOKLYN,NY,11218,11218,-73.97933491110005,40.64220873769835
GULF GAS STATION #6634949,Gas Station-Retail - 815,Surcharge/Overcharge - S02,02/06/2018,02/09/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,10804,FLATLANDS AVE,,BROOKLYN,NY,11236,10309,-73.89255234109622,40.648909827001845
"CHASE AUTO GROUP, INC.",Secondhand Dealer Auto - 005,Billing Dispute - B02,05/18/2017,06/30/2017,Referred to Outside - RTO,NA,0.00,1733,E GUN HILL RD,,BRONX,NY,10469,10473,-73.83597973624339,40.865126464513885
ALL ABOUT AUTOMOTIVE INC,Tow Truck Company - 124,Billing Dispute - B02,07/20/2017,08/25/2017,Cash Amount - AMT,Yes,70.00,14,LOMBARDY ST,,BROOKLYN,NY,11222,11419,-73.96908792932321,40.640298813669375
METROPOLITAN AUTO BODY & TOWING INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,12/20/2016,01/26/2017,No Consumer Response - NCR,NA,0.00,284,FLUSHING AVE,,BROOKLYN,NY,11205,11219,,
ZHI YOU EXPRESS INC.,Other,Non-Delivery of Goods - N01,02/24/2017,02/28/2017,Goods Received - GDR,Yes,15.00,244,GRAND ST,,NEW YORK,NY,10002,,,
"BEST BUY STORES, L.P.",Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,06/29/2018,07/10/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,174.00,7601,PENN AVE S,,RICHFIELD,MN,55423,11238,,
FINEST AUTOMOTIVE RECOVERY INC,Tow Truck Company - 124,Billing Dispute - B02,02/09/2018,03/15/2018,No Satisfactory Agreement - NSA,No,0.00,1410,61ST ST,,BROOKLYN,NY,11219,11385,-73.99636869624894,40.626565247630154
MKJC AUTO GROUP LLC,Secondhand Dealer Auto - 005,Breach of Contract - B03,09/13/2017,10/04/2017,Referred to Outside - RTO,NA,0.00,3454,44TH ST,,LONG ISLAND CITY,NY,11101,11372,-73.9189230279616,40.753636054923376
EAST 14TH GARAGE CORP.,Garage & Parking Lot - 098,Damaged Goods - D01,01/12/2018,03/05/2018,Cash Amount - AMT,Yes,374.00,7,E 14TH ST,,NEW YORK,NY,10003,11937,,
NEW YORK SPORTS CLUB,Health Spa - 839,Exchange Goods/Contract Cancelled - E01,08/10/2018,09/17/2018,Advised to Sue - ATS,No,0.00,5,PENN PLZ,4,NEW YORK,NY,10001,11201,,
GREATER NEW YORK STAINLESS STEEL INC,Home Improvement Contractor - 100,Non-Delivery of Service - N02,03/09/2018,04/09/2018,Goods Repaired - GRS,Yes,0.00,13159,FOWLER AVE,,FLUSHING,NY,11355,11354,-73.83287676665792,40.75184984165043
GAZILLION BUBBLE SHOW,Wearing Apparel - 450,Surcharge/Overcharge - S02,09/29/2017,10/06/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,340,W 50TH ST,,NEW YORK,NY,10019,,,
MAGNUM NEW YORK,Other,Advertising/Misleading - A02,07/03/2018,07/11/2018,Store Credit - SCR,Yes,80.00,134,PRINCE ST,,NEW YORK,NY,10012,,-74.0006385711193,40.72391970859451
"CELL CITY OF EAST HARLEM, INC.",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/16/2017,06/13/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,106,E 125TH ST,,NEW YORK,NY,10035,10002,-73.93851428963421,40.80482653301494
BOBBY & SONS CONSTRUCTION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,04/20/2018,06/01/2018,Referred to Outside - RTO,NA,0.00,9270,224TH ST,,QUEENS VILLAGE,NY,11428,11004,-73.70627871399056,40.74512718477269
T & W AUTO COLLISION INC,Tow Truck Company - 124,Misrepresentation - M01,02/10/2017,03/17/2017,Referred to Outside - RTO,NA,0.00,350,AVENUE Y,,BROOKLYN,NY,11223,11104,,
"AAA ELECTRONIC SERVICES, INC.",Electronic & Home Appliance Service Dealer - 115,Surcharge/Overcharge - S02,02/10/2017,03/15/2017,Store Credit - SCR,Yes,40.00,21810,HILLSIDE AVE,,QUEENS VLG,NY,11427,11433,,
ASHLEY FURNITURE CO.,Furniture Sales - 242,Damaged Goods - D01,11/02/2017,11/27/2017,Goods Repaired - GRS,Yes,0.00,1,ASHLEY WAY,,ARCADIA,WI,54612,11203,-73.9288160854548,40.61533079084808
QUIK PARK MIA GARAGE LLC,Garage - 049,Damaged Goods - D01,12/20/2016,02/02/2017,Cash Amount - AMT,Yes,1334.00,,,,,,,10314,-73.99649370975672,40.715570099451426
CTOWN SUPERMARKETS,Supermarket - 819,Surcharge/Overcharge - S02,01/09/2018,01/18/2018,Complaint Invalid - CIN,NA,0.00,1434,JEROME AVE,,BRONX,NY,10452,10456,-73.91713240320357,40.84098578355416
COQUI SALES APPLIANCES LLC,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,06/08/2017,06/28/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,933,MORRIS PARK AVE,,BRONX,NY,10462,10457,-73.85824547506752,40.84721383193435
378 5TH PHOTO CORP.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/29/2017,09/12/2017,No Satisfactory Preempted - NSP,NA,0.00,378,5TH AVE,,NEW YORK,NY,10018,11229,-73.98392135907521,40.74932951002818
CHARMING CHARLIE,Furniture Sales - 242,Non-Delivery of Goods - N01,03/20/2018,04/04/2018,Cash Amount - AMT,Yes,313.00,445,5TH AVE,,NEW YORK,NY,10016,10452,-73.98297183433536,40.75060293652225
FINEST AUTOMOTIVE RECOVERY INC,Tow Truck Company - 124,Surcharge/Overcharge - S02,11/24/2017,01/18/2018,Cash Amount - AMT,Yes,350.00,1410,61ST ST,,BROOKLYN,NY,11219,11223,-73.99636869624894,40.626565247630154
BARBOT CONSTRUCTION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/12/2018,03/06/2018,Advised to Sue - ATS,No,0.00,30,OLD KINGS HWY S,,DARIEN,CT,06820,10461,,
53RD PARKING CORP.,Garage & Parking Lot - 098,Damaged Goods - D01,03/10/2017,04/24/2017,Consumer Took Action - CTA,No,0.00,301,W 53RD ST,,NEW YORK,NY,10019,19004,,
CITY WORLD ESTATE AUTO HOLDINGS LLC,Secondhand Dealer Auto - 005,Damaged Goods - D01,08/23/2017,09/28/2017,Goods Repaired - GRS,Yes,0.00,3305,BOSTON RD,,BRONX,NY,10469,10468,-73.85340566944856,40.873488313810455
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Breach of Contract - B03,08/29/2017,09/20/2017,Advised to Sue - ATS,No,0.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,11358,-73.9924708910379,40.75357102047199
LA ONE CONSTRUCTION CORPORATION,Home Improvement Contractor - 100,Quality of Work - Q01,05/04/2018,06/08/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,1637,SAINT PETERS AVE,1,BRONX,NY,10461,10469,,
"PROFESSIONAL CREDIT SERVICES, INC.",Debt Collection Agency - 122,Misrepresentation - M01,07/11/2017,08/01/2017,Referred to Outside - RTO,NA,0.00,400,INTERNATIONAL WAY,,SPRINGFIELD,OR,97477,11420,,
LIBERTY TAX SERVICE CORPORATE OFFICE,Tax Preparers - 891,Misrepresentation - M01,06/16/2017,07/14/2017,Advised to Sue - ATS,No,0.00,1716,CORPORATE LANDING PKWY,,VIRGINIA BEACH,VA,23454,11413,-73.80422741078034,40.70729564586351
SLEEPY'S,Furniture Sales - 242,Damaged Goods - D01,03/16/2017,04/04/2017,Cash Amount - AMT,Yes,525.00,1000,S OYSTER BAY RD,,HICKSVILLE,NY,11801,11208,-73.91794676828681,40.62611332664717
MUSIC BY MAIL,Mailorder Misc - 319,Exchange Goods/Contract Cancelled - E01,06/06/2017,06/15/2017,Cash Amount - AMT,Yes,18.00,PO BOX,,,BROOKLYN,NY,11232,12508,,
"METRO AIR COMFORT, INC",Appliances - 244,Non-Delivery of Service - N02,09/12/2017,09/21/2017,Referred to Manufacturer - RMF,NA,0.00,848,MCDONALD AVE,,BROOKLYN,NY,11218,10016,,
A & L CONSTRUCTION,Home Improvement Contractor - 100,Misrepresentation - M01,04/05/2017,05/09/2017,Advised to Sue - ATS,No,0.00,7410,AVENUE W,,BROOKLYN,NY,11234,11234,-73.90150983254621,40.61804719804875
ASAP TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,04/24/2018,05/08/2018,Advised to Sue - ATS,No,0.00,5609,56TH TER,,MASPETH,NY,11378,11365,-73.91410330228676,40.7238025822284
"IMPERIAL PARKING (U.S.), LLC",Garage - 049,Surcharge/Overcharge - S02,04/27/2017,03/01/2017,Cash Amount - AMT,Yes,0.00,16836,,,JAMAICA,NY,11432,11691,-73.79235460978246,40.70814218866804
A&J CATALOG SERVICES,Mailorder Misc - 319,Non-Delivery of Goods - N01,03/13/2017,04/07/2017,Cash Amount - AMT,Yes,71.00,PO BOX,,,NEW YORK,NY,10128,12821,,
"SINGH, RONALD",Secondhand Dealer [General] - 006,Misrepresentation - M01,03/07/2017,03/23/2017,No Satisfactory Agreement - NSA,No,0.00,771,NOSTRAND AVE,,BROOKLYN,NY,11216,11225,,
AEM TOWING & COLLISION INC,Tow Truck Company - 124,Misrepresentation - M01,08/17/2018,09/20/2018,Advised to Sue - ATS,No,0.00,1801,JEROME AVE,,BRONX,NY,10453,10026,-73.91134622998246,40.84912502967686
RENAISSANCE CONTRACTORS AND BUILDERS CORP,Home Improvement Contractor - 100,Quality of Work - Q01,03/03/2017,04/26/2017,Advised to Sue - ATS,No,0.00,80,SURREY LN,,HEMPSTEAD,NY,11550,11413,,
"VARIETY MART, INCORPORATED",Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,04/20/2017,05/10/2017,Advised to Sue - ATS,No,0.00,136,MONTAGUE ST,,BROOKLYN,NY,11201,11201,-73.99374330970673,40.69463017435565
RAVIL SHOE REPAIR INC,Misc Non-Food Retail - 817,Damaged Goods - D01,08/09/2017,08/17/2017,No Business Response - NVR,No,0.00,3071A,BRIGHTON 3RD ST,,BROOKLYN,NY,11235,11235,-73.96434003149174,40.57745810153854
CAG CONSTRUCTION CORP.,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,01/27/2017,03/09/2017,Referred to Hearing - RTH,No,0.00,30,SUMMIT AVE,,STATEN ISLAND,NY,10306,10314,-74.12385082769988,40.57662558695415
FIRST FIDELITY SERVICES,Debt Settlement - 248,Misrepresentation - M01,08/17/2018,09/12/2018,Bill Reduced - BLR,Yes,0.00,13217,JAMBOREE RD,426,TUSTIN,CA,92782,11368,,
Cricket Wireless,Electronic Store - 001,Misrepresentation - M01,12/16/2016,01/17/2017,No Consumer Response - NCR,NA,0.00,44,WILLOUGHBY ST,,BROOKLYN,NY,11201,10272,,
RIZWAN AHMAD,Home Improvement Contractor - 100,Misrepresentation - M01,11/03/2017,11/30/2017,Advised to Sue - ATS,No,0.00,1601,W 7TH ST,C3,BROOKLYN,NY,11223,11364,,
AMERICAN AUTO BODY & RECOVERY INC.,Tow Truck Company - 124,Billing Dispute - B02,08/31/2017,09/21/2017,Cash Amount - AMT,Yes,82.00,6005,FLUSHING AVE,,MASPETH,NY,11378,11385,-73.90709628764378,40.719185944600326
ASAP TOWING INC.,Tow Truck Company - 124,Misrepresentation - M01,11/28/2017,12/21/2017,Advised to Sue - ATS,No,0.00,5609,56TH TER,,MASPETH,NY,11378,11105,-73.91410330228676,40.7238025822284
HYRA TECH NY INC.,Electronic & Home Appliance Service Dealer - 115,Misrepresentation - M01,06/15/2017,06/20/2017,Cash Amount - AMT,Yes,65.00,8326,BROADWAY,,ELMHURST,NY,11373,11373,-73.87929429035535,40.74057201055886
COHEN'S FASHION OPTICAL,Misc Non-Food Retail - 817,Misrepresentation - M01,01/05/2018,02/15/2018,Advised to Sue - ATS,No,0.00,100,QUENTIN ROOSEVELT BLVD,400,GARDEN CITY,NY,11530,11229,,
AZAAN CONSTRUCTION CORP,Home Improvement Contractor - 100,Non-Delivery of Service - N02,08/04/2017,09/05/2017,Referred to Hearing - RTH,No,0.00,174,BAY 35TH ST,5,BROOKLYN,NY,11214,11691,-73.99350404704833,40.59648217704268
SIBRE CONSTRUCTION INC,Home Improvement Contractor - 100,Quality of Work - Q01,06/26/2018,08/02/2018,Advised to Sue - ATS,No,0.00,2366,91ST ST,,EAST ELMHURST,NY,11369,11355,-73.81640303550118,40.74567925759194
MAURY COBB & ASSOCIATES LLC,Debt Collection Agency - 122,Misrepresentation - M01,03/09/2017,03/09/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,600,BEACON PKWY W,300B,BIRMINGHAM,AL,35209,11368,,
T-MOBILE NORTHEAST LLC,Other,Misrepresentation - M01,04/19/2017,05/09/2017,Bill Reduced - BLR,Yes,3491.00,PO BOX,,,ALBUQUERQUE,NM,87176,10003,,
HILLSIDE TOYOTA,Secondhand Dealer Auto - 005,Breach of Contract - B03,06/07/2018,07/11/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,13965,QUEENS BLVD,,JAMAICA,NY,11435,11435,-73.8158547262238,40.70511352803901
KINGS FIRE CONSTRUCTION CORP,Home Improvement Contractor - 100,Quality of Work - Q01,04/13/2018,05/24/2018,Advised to Sue - ATS,No,0.00,13107,228TH ST,,LAURELTON,NY,11413,11233,-73.75211982059103,40.67995054829428
"MANHATTAN JEEP EAGLE, INC.",Secondhand Dealer Auto - 005,Damaged Goods - D01,04/05/2018,04/24/2018,Advised to Sue - ATS,No,0.00,678,11TH AVE,,NEW YORK,NY,10019,08205,-73.99521678334368,40.7650579207561
CYCLONE CITY INC.,Tow Truck Company - 124,Billing Dispute - B02,01/19/2018,02/15/2018,Advised to Sue - ATS,No,0.00,2725,W 16TH ST,,BROOKLYN,NY,11224,11214,-73.98447674778804,40.58073988178852
ROD'S TV & APPLIANCE SERVICE,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,05/02/2017,06/23/2017,Advised to Sue - ATS,No,0.00,391,RIVERLEIGH AVE,,RIVERHEAD,NY,11901,11365,,
Capital Accounts LLC,Debt Collection Agency - 122,Harassment - H01,08/24/2018,09/06/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,310,BILLINGSLY CT,100,FRANKLIN,TN,37067,11368,,
"PREMIER FORD, INC.",Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,01/04/2018,02/13/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,5001,GLENWOOD RD,,BROOKLYN,NY,11234,11236,-73.92744732519016,40.635257119466125
AZ YASHIR BAPAZ,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,02/02/2018,02/20/2018,Advised to Sue - ATS,No,0.00,134,W 37TH ST,A,NEW YORK,NY,10018,11210,-73.98802799294664,40.752376679652784
"DUPREY, THE HOME IMPROVER INC.",Home Improvement Contractor - 100,Quality of Work - Q01,06/08/2018,07/02/2018,No Satisfactory Agreement - NSA,No,0.00,276,CALHOUN AVE,FL 1,BRONX,NY,10465,10473,-73.8185602155382,40.817589387951166
BEN & NINO AUTO REPAIR INC.,Tow Truck Company - 124,Damaged Goods - D01,07/31/2018,08/09/2018,Advised to Sue - ATS,No,0.00,2449,CONEY ISLAND AVE,,BROOKLYN,NY,11223,11234,,
"ARCADIA RECOVERY BUREAU, LLC",Debt Collection Agency - 122,Misrepresentation - M01,10/19/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,645,PENN ST,,READING,PA,19601,10005,,
"POTAMKIN HY NEW YORK, LLC",Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,05/04/2018,06/22/2018,Advised to Sue - ATS,No,0.00,2495,2ND AVE,2,NEW YORK,NY,10035,10029,-73.93342835754878,40.80487585798652
RENT-A-CENTER,Furniture Sales - 242,Wrong Goods - W01,05/18/2017,06/02/2017,Cash Amount - AMT,Yes,300.00,5501,HEADQUARTERS DR,,PLANO,TX,75024,11221,,
IDEAL AUTO FINANCE & LEASE,Secondhand Dealer Auto - 005,Billing Dispute - B02,02/28/2017,03/10/2017,No Satisfactory Agreement - NSA,No,0.00,223,KINGS HWY,,BROOKLYN,NY,11223,11204,,
1955 FIRST PARKING CORP.,Garage - 049,Closed without Notice,04/03/2018,04/06/2018,Referred to Outside - RTO,NA,0.00,107,W 13TH ST,,NEW YORK,NY,10011,11590,,
STATE COLLECTION SERVICE INC,Debt Collection Agency - 122,Billing Dispute - B02,09/19/2017,10/10/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,2509,S STOUGHTON RD,,MADISON,WI,53716,11429,,
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/13/2018,Cash Amount - AMT,Yes,0.00,2711,CENTERVILLE RD,,WILMINGTON,DE,19808,11372,-73.88430882302131,40.74974462861085
T-MOBILE NORTHEAST LLC,Electronic Store - 001,Advertising/Misleading - A02,12/15/2016,01/31/2017,Bill Reduced - BLR,Yes,0.00,469,FULTON ST,,BROOKLYN,NY,11201,11221,,
"CONTRACT CALLERS, INC.",Debt Collection Agency - 122,Billing Dispute - B02,03/23/2018,04/10/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,501,GREENE ST,302,AUGUSTA,GA,30901,10475,,
TIME DECO CORP.,Floor Coverings - 241,Exchange Goods/Contract Cancelled - E01,08/03/2018,09/07/2018,Advised to Sue - ATS,No,0.00,4136,COLLEGE POINT BLVD,,FLUSHING,NY,11355,11355,-73.83335163811796,40.75535557696319
BETTY FURNITURE INC.,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/01/2017,03/24/2017,Cash Amount - AMT,Yes,200.00,2802,CHURCH AVE,,BROOKLYN,NY,11226,11233,,
RAYMOUR& FLANIGAN FURNITURE,Furniture Sales - 242,Defective Goods - D02,05/18/2018,05/31/2018,Goods Exchanged - GEX,Yes,0.00,7230,MORGAN RD,,LIVERPOOL,NY,13090,11208,,
"AUDIT SYSTEMS, INC.",Debt Collection Agency - 122,Billing Dispute - B02,04/06/2018,04/25/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,3696,ULMERTON RD,STE 200,CLEARWATER,FL,33762,11209,,
"IMPERIAL GENERAL CONSTRUCTION OF NY,INC",Home Improvement Contractor - 100,Breach of Contract - B03,12/20/2016,02/06/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,8941,183RD ST,,HOLLIS,NY,11423,11691,-73.76916167190541,40.61247506057782
